Bowl,Block,ID,Size 1,Size 2,Average size,Date,Day,Bowl 2,Eggs?,Quads,Count 1,Count 2,Total eggs,Estimated total eggs,Spawned?,Viable Count 1,Viable Count 2,Viable total eggs,Viability,Date 2,Day 2,Eggs? 2,1,2,Log estimated eggs
1,K,Solo,42,,42,28-Jul-16,1,single,Yes,"4, 8",10,9,19,119.415,Y,15,6,21,1,29-Jul-16,2,No,164,76,4.782604821
,K,1,50,,50,28-Jul-16,1,tennis,Yes,"1, 5",74,90,164,1030.74,Y,7,11,18,0.890243902,29-Jul-16,2,No,61,0,6.93803227
,K,2,37,,37,28-Jul-16,1,tennis,Yes,"2, 6",30,46,76,477.66,Y,10,12,22,0.710526316,29-Jul-16,2,No,0,2,6.168899182
,K,Pair,43,41,42,28-Jul-16,1,pair,Yes,"3, 7",17,83,100,628.5,Y,4,21,25,0.75,29-Jul-16,2,No,3,1,6.443336028
,K,1+2,,,43.5,,,,,,,,240,1508.4,Y,17,23,40,0.833333333,,,,98,4,7.318804765
2,L,Solo,38,,38,28-Jul-16,1,single,Yes,"4, 8",1,0,1,6.285,N,1,0,1,0,29-Jul-16,2,No,,,1.838165842
,L,1,34,,34,28-Jul-16,1,tennis,No,"1, 5",0,0,0,0,N,0,0,0,,29-Jul-16,2,No,,,
,L,2,41,,41,28-Jul-16,1,tennis,Yes,"2, 6",26,35,61,383.385,Y,14,21,35,0.426229508,29-Jul-16,2,No,,,5.949039706
,L,Pair,39,38,38.5,28-Jul-16,1,pair,Yes,"3, 7",38,68,106,666.21,Y,16,24,40,0.622641509,29-Jul-16,2,No,,,6.501604936
,L,1+2,,,37.5,,,,,,,,61,383.385,Y,14,21,35,0.426229508,,,,,,5.949039706
3,M,Solo,38,,38,28-Jul-16,1,single,Yes,"2, 6",70,57,127,798.195,Y,86,50,136,1,29-Jul-16,2,No,,,6.682352929
,M,1,38,,38,28-Jul-16,1,tennis,Yes,"3, 7",0,0,0,0,N,0,0,0,,29-Jul-16,2,No,,,
,M,2,37,,37,28-Jul-16,1,tennis,Yes,"4, 8",0,2,2,12.57,N,0,2,2,0,29-Jul-16,2,No,,,2.531313023
,M,Pair,38,37,37.5,28-Jul-16,1,pair,Yes,"1, 5",7,4,11,69.135,Y,4,3,7,0.363636364,29-Jul-16,2,No,,,4.236061115
,M,1+2,,,37.5,,,,,,,,2,12.57,N,0,2,2,0,,,,,,2.531313023
4,N,Solo,51,,51,1-Aug-16,1,single,,"4, 8",75,57,132,829.62,Y,81,74,155,1,,,,,,6.720967765
,N,1,55,,55,1-Aug-16,1,tennis,,"1, 5",2,1,3,18.855,N,0,0,0,1,,,,,,2.936778131
,N,2,46,,46,1-Aug-16,1,tennis,,"2, 6",1,0,1,6.285,N,0,0,0,1,,,,,,1.838165842
,N,Pair,53,49,51,1-Aug-16,1,pair,,"3, 7",50,50,100,628.5,Y,14,20,34,0.66,,,,,,6.443336028
,N,1+2,,,50.5,,,,,,,,4,25.14,N,0,0,0,1,,,,,,3.224460203
5,O,Solo,42,,42,1-Aug-16,1,single,,"2, 6",9,4,13,81.705,Y,6,4,10,0.230769231,,,,,,4.4031152
,O,1,37,,37,1-Aug-16,1,tennis,,"3, 7",2,2,4,25.14,N,2,0,2,0.5,,,,,,3.224460203
,O,2,45,,45,1-Aug-16,1,tennis,,"4, 8",56,42,98,615.93,Y,10,10,20,0.795918367,,,,,,6.423133321
,O,Pair,45,38,41.5,1-Aug-16,1,pair,,"1, 5",37,65,102,641.07,Y,15,53,68,0.333333333,,,,,,6.463138655
,O,1+2,,,41,,,,,,,,102,641.07,Y,10,12,22,0.784313725,,,,,,6.463138655
6,P,Solo,37,,37,1-Aug-16,1,single,,"4, 8",10,6,16,100.56,Y,10,6,16,0,,,,,,4.610754564
,P,1,42,,42,1-Aug-16,1,tennis,,"1, 5",19,46,65,408.525,Y,23,35,58,0.107692308,,,,,,6.012553112
,P,2,35,,35,1-Aug-16,1,tennis,,"2, 6",35,54,89,559.365,Y,17,31,48,0.460674157,,,,,,6.326802212
,P,Pair,44,32,38,1-Aug-16,1,pair,,"3, 7",29,30,59,370.815,Y,9,11,20,0.661016949,,,,,,5.915703286
,P,1+2,,,38.5,,,,,,,,154,967.89,Y,40,66,106,0.311688312,,,,,,6.875118444
,Q,Solo,33,,33,8/5/2016,,,,"4, 8",6,1,7,43.995,N,5,1,6,0.142857143,,,,,,3.784075991
,Q,1,37,,37,8/5/2016,,,,"1, 5",1,1,2,12.57,N,1,0,1,0.5,,,,,,2.531313023
,Q,2,31,,31,8/5/2016,,,,"2, 6",8,10,18,113.13,Y,0,3,3,0.833333333,,,,,,4.7285376
,Q,Pair,35,32,33.5,8/5/2016,,,,"3, 7",40,36,76,477.66,Y,11,12,23,0.697368421,,,,,,6.168899182
,Q,1+2,,,34,8/5/2016,,,,,,,20,125.7,Y,1,3,4,0.8,,,,,,4.833898116
,R,Solo,35,,35,8/5/2016,,,,"4, 8",4,4,8,50.28,Y,4,4,8,0,,,,,,3.917607384
,R,1,37,,37,8/5/2016,,,,"1, 5",32,26,58,364.53,Y,21,21,42,0.275862069,,,,,,5.898608853
,R,2,34,,34,8/5/2016,,,,"2, 6",0,0,0,0,N,0,1,1,,,,,,,
,R,Pair,36,34,35,8/5/2016,,,,"3, 7",43,68,111,697.635,Y,14,23,37,0.666666667,,,,,,6.547696043
